Dan 1,310,312,313,57,59,311,55,314,56,65
8:00,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1
11:30,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3
15:00,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС
18:30,x,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,x

Dan 2,310,312,313,57,59,311,55,314,56,65
8:00,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1
11:30,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ
15:00,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ
18:30,x,13Е054УРВ,13Е054УРВ,13Е054УРВ,13Е054УРВ,13Е054УРВ,13Е054УРВ,x,13С113ПС,13С113ПС

Dan 3,310,312,313,57,59,311,55,314,56,65
8:00,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ
11:30,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1
15:00,x,x,13Е114ИС,13Е114ИС,13Е114ИС,13Е114ИС,13Е114ИС,13Е114ИС,13Е114ИС,x
18:30,13С113ИС,13С113ИС,13С113ИС,x,x,x,x,x,x,x

Dan 4,310,312,313,57,59,311,55,314,56,65
8:00,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф
11:30,13Е042ОЕЛ,13Е042ОЕЛ,13Е042ОЕЛ,13С113ОС2,x,x,x,x,13Е114РМ2,13Е114РМ2
15:00,13Е054НМ,13Е054НМ,x,x,x,x,x,x,x,x
18:30,x,x,x,x,x,x,x,x,x,x

